NAME	dep	departement	num	none	demographie_naissance_1990	demographie_naissance_1991	demographie_naissance_1992	demographie_naissance_1993	demographie_naissance_1994	demographie_naissance_1995	demographie_naissance_1996	demographie_naissance_1997	demographie_naissance_1998	demographie_naissance_1999	demographie_naissance_2000	demographie_naissance_2001	demographie_naissance_2002	demographie_naissance_2003	demographie_naissance_2004	demographie_naissance_2005	demographie_naissance_2006	demographie_naissance_2007	demographie_naissance_2008	demographie_naissance_2009	demographie_naissance_2010	bises_1	bises_2	bises_3	bises_4	bises_5
Ain	82	RHONE-ALPES	1	1	470651	476982	482557	488244	491135	495127	499310	504201	509520	514331	521103	528195	535616	543136	550939	558968	566740	574377	581355	588853	595536	162	696	322	61	81
Aisne	22	PICARDIE	2	1	536896	537263	537755	538219	537926	538324	538017	537751	536629	536181	536260	536626	536784	536651	536464	536798	537061	537820	538790	539870	540079	30	368	53	151	43
Allier	83	AUVERGNE	3	1	357952	356432	355195	353824	352441	351058	349376	348200	346640	345072	344710	344551	344355	344005	343547	343558	343309	343114	342807	343046	342576	23	357	62	39	37
Alpes-De-Haute-Provence	93	PROVENCE-ALPES-COTE-D'AZUR	4	1	130911	131857	132739	134040	135216	136392	137453	138373	139454	139515	141454	143574	145750	147970	150051	152376	154501	156067	157965	159450	160906	29	257	76	32	30
Hautes-Alpes	93	PROVENCE-ALPES-COTE-D'AZUR	6	1	972380	981331	989251	993695	998779	998702	1000154	1002360	1006282	1010644	1017956	1026455	1035271	1044429	1053182	1063500	1073184	1082465	1084428	1079100	1082847	21	1274	84	49	60
Alpes-Maritimes	21	CHAMPAGNE-ARDENNE	8	1	296150	295676	294625	294604	294260	293368	292822	292175	291329	290452	289609	289041	288520	287820	287136	286425	285653	284749	284197	283296	282096	44	170	60	171	31
Ardèche	82	RHONE-ALPES	7	1	277651	278688	279438	280263	280897	281487	282838	283811	285181	285889	288386	291079	293922	296960	300021	303117	306238	309456	311452	313578	315595	20	140	748	36	23
Ardennes	73	MIDI-PYRENEES	9	1	136681	136772	136870	136632	136613	136496	136219	136544	136732	137201	138199	139388	140681	142043	143371	144888	146289	148568	150201	151117	152306	15	216	27	15	19
Ariège	21	CHAMPAGNE-ARDENNE	10	1	289138	290118	290731	291359	291968	292575	292381	292712	292676	292317	293185	294310	295419	296294	297154	298483	299704	300840	301327	303298	304457	18	136	31	357	28
Aube	91	LANGUEDOC-ROUSSILLON	11	1	298917	300615	301045	301693	302569	303404	304530	305604	308125	309463	313341	317549	321972	326491	331267	336237	341022	345779	349237	353980	357844	14	513	45	25	29
Aude	73	MIDI-PYRENEES	12	1	270408	269114	268535	267728	267025	266473	265492	265027	264419	264048	265065	266369	267766	269114	270275	271979	273377	274425	275889	277048	277952	13	58	789	70	14
Aveyron	42	ALSACE	67	1	952158	960320	968879	978610	987370	994932	1002555	1009849	1016591	1025033	1032498	1040521	1048305	1055890	1063274	1071160	1079016	1084840	1091015	1094439	1099578	41	1336	43	48	49
Bouches-Du-Rhône	93	PROVENCE-ALPES-COTE-D'AZUR	13	1	1758064	1768054	1777351	1788025	1794222	1802202	1809226	1815271	1824390	1833982	1846878	1860948	1876310	1891344	1905689	1921821	1937405	1958926	1966005	1967299	1978164	37	2058	478	70	66
Calvados	25	BASSE-NORMANDIE	14	1	618117	621780	625079	628687	631182	633738	637669	641868	644513	647951	651193	654684	658189	661498	664769	668210	671351	673667	678206	680908	683536	25	489	116	642	42
Cantal	83	AUVERGNE	15	1	158840	158305	157220	156449	155574	154630	153777	152740	151841	150977	150640	150457	150181	150118	149944	149830	149682	149057	148737	148380	147955	26	46	306	22	28
Charente	54	POITOU-CHARENTES	16	1	342041	342244	342242	342381	341750	341371	340786	340431	339932	339828	340761	341959	343012	343894	344708	345911	347037	349535	351581	351563	352110	74	202	269	108	29
Charente-Maritime	54	POITOU-CHARENTES	17	1	527186	530632	533431	535893	538260	540779	543835	547041	552641	556419	561742	567617	573817	579877	586082	592640	598915	605410	611714	616607	621515	80	524	244	146	35
Cher	24	CENTRE	18	1	321487	321274	321042	320257	319294	318250	316913	316121	315255	314603	314584	314636	314887	314781	314490	314642	314675	314599	313251	311022	310133	14	234	37	142	19
Corrèze	26	BOURGOGNE	21	1	493471	495531	497563	499519	500929	502767	504022	505716	506212	506699	508015	509714	511197	512591	514022	515829	517168	519143	521608	524144	525607	36	696	52	79	36
Corse-Du-Sud	53	BRETAGNE	22	1	538443	538213	537254	537435	536793	537009	536856	539324	541391	542398	545656	549503	553556	557831	562226	566688	570861	576049	581570	587519	591782	191	637	75	260	46
Haute-Corse	74	LIMOUSIN	19	1	238051	237510	236942	236308	235827	235422	234541	233767	233347	232819	233631	234567	235775	236805	237823	239185	240363	242038	242896	243352	243958	8	259	50	44	21
Côte-d'Or	94	CORSE	2A	1	118452	118863	119076	119594	119677	119753	119165	118712	118463	118466	120753	123185	125662	128098	130613	133128	135718	139362	140953	141330	143090	29	185	27	16	48
Côtes-d'Armor	74	LIMOUSIN	23	1	131585	130554	129648	128976	127959	127002	126359	125856	125314	124597	124303	124095	123953	123797	123561	123423	123401	123861	123907	123584	123344	12	111	19	46	27
Creuse	54	POITOU-CHARENTES	79	1	346027	345801	345831	345534	345181	345256	345255	344760	344574	344486	346432	348599	350799	352970	354914	357319	359711	362944	365059	366339	368219	414	211	151	83	44
Dordogne	72	AQUITAINE	24	1	386690	387139	387066	387227	387114	386941	386685	387393	388050	388407	390272	392493	394747	396905	398994	401607	404052	406793	409388	412082	413812	22	416	60	60	25
Doubs	43	FRANCHE-COMTE	25	1	484264	486507	488956	491109	492812	495063	496848	497719	498613	499223	501423	503929	506241	508532	510794	513571	516157	520133	522685	525276	527775	26	594	40	20	24
Drôme	82	RHONE-ALPES	26	1	413829	417019	419445	422575	424626	427508	429211	432251	435256	437654	441480	445862	450214	454702	459076	463976	468608	473428	478069	482984	487008	9	120	1226	16	14
Eure	11	ILE-DE-FRANCE	91	1	1083245	1093658	1105974	1115400	1122103	1127647	1131399	1131514	1133653	1133836	1142331	1151521	1160665	1169540	1178214	1188351	1198273	1201994	1205850	1208004	1212748	16	822	42	458	47
Eure-Et-Loir	23	HAUTE-NORMANDIE	27	1	513465	517478	522477	525823	528991	531677	534513	537186	539608	540918	544635	548502	552211	555822	559393	563316	567221	572105	577087	582822	587124	18	304	29	303	16
Finistère	24	CENTRE	28	1	395683	398575	401323	403528	405293	406368	406961	407793	408212	407707	409342	411292	413125	415032	416808	418968	421114	422411	423559	425502	426935	15	169	25	267	14
Gard	53	BRETAGNE	29	1	838366	838401	838457	839672	840565	841298	844116	847075	849779	852273	855924	860540	865006	869205	873568	878532	883001	885906	890509	893914	896662	2000	867	115	338	129
Haute-Garonne	91	LANGUEDOC-ROUSSILLON	30	1	584982	588745	593423	598655	602896	605413	608972	612981	618151	622509	630051	638166	646976	655892	664622	674062	683169	689847	694323	701883	708158	15	41	1193	27	18
Gers	73	MIDI-PYRENEES	32	1	174746	174899	174102	173735	173194	172650	172560	172401	172580	172484	173522	174681	176049	177185	178515	179995	181375	183615	185266	187181	188540	4	260	18	11	16
Gironde	72	AQUITAINE	33	1	1213540	1223957	1233378	1243092	1249226	1256465	1263427	1270159	1276453	1286072	1299777	1314667	1330095	1345768	1361225	1377991	1393758	1409345	1421276	1434661	1447817	21	1783	100	94	66
Hérault	42	ALSACE	68	1	670652	675110	679085	684357	688363	692543	696784	700930	703394	707555	711457	715557	719749	723685	727871	732242	736477	742408	746072	748614	751865	6	628	29	19	32
Ille-Et-Vilaine	94	CORSE	2B	1	131193	132796	132622	134001	137300	138663	140003	140385	141003	141686	143786	146088	148431	150929	153359	155964	158400	159847	162013	164344	166249	25	168	18	16	58
Indre	73	MIDI-PYRENEES	31	1	925116	938877	955129	970746	979110	991133	1004166	1016846	1029466	1044208	1062514	1082140	1102414	1122778	1143706	1165193	1186330	1202920	1217344	1230820	1246480	29	2758	90	49	73
Indre-Et-Loire	83	AUVERGNE	43	1	206658	206612	206639	206379	206508	206511	206895	207555	208285	209086	210410	211774	213246	214595	216165	217820	219484	220437	221834	223122	224104	10	45	443	16	8
Isère	21	CHAMPAGNE-ARDENNE	52	1	204039	203333	202052	200882	199891	199263	198275	197242	196378	195131	194024	192992	191914	190907	189795	188817	187652	187407	186470	185214	183950	6	102	16	163	8
Jura	43	FRANCHE-COMTE	70	1	229478	228928	228657	228577	228548	229376	229104	229186	229150	229728	230380	231413	232305	233209	233991	234934	235867	237197	238548	239194	239915	8	182	7	9	14
Landes	82	RHONE-ALPES	74	1	567735	577834	586783	595629	600584	607187	613467	619963	625854	630654	639184	648493	657725	667160	676755	686622	696255	706708	716277	725794	734568	8	750	404	28	36
Loir-Et-Cher	74	LIMOUSIN	87	1	353824	353818	354331	354418	354744	354518	354415	354424	353941	354055	355315	357134	358988	360749	362522	364879	367156	371102	373940	374849	376885	6	335	31	58	17
Loire	93	PROVENCE-ALPES-COTE-D'AZUR	5	1	113265	114193	114917	115376	116689	117530	118526	119433	120972	121338	122542	123873	125287	126721	128067	129453	130752	132482	134205	135836	137234	28	112	268	22	20
Haute-Loire	73	MIDI-PYRENEES	65	1	224919	225026	224823	224676	223834	223936	223560	223109	222764	222631	223299	223930	224657	225411	226132	227083	227736	228594	229079	229670	230160	9	284	6	10	25
Loire-Atlantique	11	ILE-DE-FRANCE	92	1	1389416	1392369	1394910	1395461	1399157	1403081	1406949	1412292	1419110	1427888	1442087	1457738	1473080	1488605	1503568	1520106	1536100	1544411	1549619	1561745	1572519	37	1547	68	295	62
Loiret	91	LANGUEDOC-ROUSSILLON	34	1	794642	805887	817317	829197	839568	850037	861681	872270	884890	894537	907747	921521	936987	952865	968476	985113	1001041	1011207	1019798	1031974	1042699	19	314	2725	75	45
Lot	53	BRETAGNE	35	1	797785	805129	812305	819455	826097	832855	840650	848726	857295	866111	876201	887423	898909	910367	921911	933885	945851	955846	967588	977449	987465	117	1580	114	400	54
Lot-Et-Garonne	24	CENTRE	36	1	237609	237109	236467	235831	234577	234056	233375	232829	232252	231365	231441	231681	231866	232155	232211	232612	232959	232799	232004	232268	231848	12	146	15	147	14
Lozère	24	CENTRE	37	1	529150	531644	534700	538147	540563	543482	546156	549262	551498	553690	557170	561151	564886	568765	572255	576366	580312	583086	585406	588420	591091	18	481	42	478	30
Maine-Et-Loire	82	RHONE-ALPES	38	1	1015238	1024568	1035067	1044677	1051932	1059768	1067838	1076887	1085203	1092778	1102331	1113017	1124185	1135080	1145897	1157903	1169491	1178714	1188660	1197038	1206375	17	1819	62	20	33
Manche	43	FRANCHE-COMTE	39	1	248707	249430	249821	250215	250294	250509	250869	250659	250917	250905	251811	252840	253875	254691	255536	256567	257399	258897	260740	261277	262070	13	265	26	9	17
Marne	72	AQUITAINE	40	1	311507	313287	315261	317126	318630	319778	321240	323150	325077	327240	331510	336470	341456	346620	351827	357544	362827	367492	373142	379341	383973	9	379	21	28	25
Haute-Marne	24	CENTRE	41	1	305869	307217	308482	309798	310472	311590	312590	313660	314616	314995	316354	317783	319144	320536	321808	323489	325182	326291	326599	327868	328643	17	184	23	217	19
Mayenne	82	RHONE-ALPES	42	1	746101	744872	744283	744067	742659	740191	738670	735287	731657	729081	730614	732528	734267	735780	737297	739393	741269	740668	742076	746115	747215	16	818	36	25	12
Meurthe-Et-Moselle	52	PAYS-DE-LA-LOIRE	44	1	1050539	1058966	1068983	1079601	1087854	1096033	1105020	1114088	1124006	1133247	1146058	1160239	1174492	1189157	1203474	1218810	1234085	1246798	1255871	1266358	1277320	45	1267	103	1394	59
Meuse	24	CENTRE	45	1	580010	585588	591029	595926	600195	604569	608331	612369	616372	617935	621230	625235	629070	633019	636707	641169	645325	647733	650769	653510	656141	12	470	36	468	34
Morbihan	73	MIDI-PYRENEES	46	1	155970	156262	156980	157211	157694	157977	158363	159074	159657	160230	161375	162680	164076	165493	166873	168271	169531	171173	172796	173562	174475	6	203	153	33	9
