NAME,route_morts,route_accidents,route_blesses,route_indemnes,climat_pluie_1999,climat_pluie_2000,climat_pluie_2001,climat_pluie_2002,climat_pluie_2003,climat_pluie_2004,climat_pluie_2005,climat_pluie_2006,climat_pluie_2007,climat_pluie_2008,climat_pluie_2009,climat_pluie_2010,climat_pluie_2011,climat_chaleur_2010,climat_chaleur_2011,climat_froid_2010,climat_froid_2011,climat_ensoleillement_2010,climat_ensoleillement_2011,climat_vent_2010,climat_vent_2011,alcool_jeunes_2005,energie_eolienne_2012,energie_puissance_eolienne_2012,energie_photovoltaique_2012,energie_puissance_photovoltaique_2012,demographie_naissance_1990,demographie_naissance_1991,demographie_naissance_1992,demographie_naissance_1993,demographie_naissance_1994,demographie_naissance_1995,demographie_naissance_1996,demographie_naissance_1997,demographie_naissance_1998,demographie_naissance_1999,demographie_naissance_2000,demographie_naissance_2001,demographie_naissance_2002,demographie_naissance_2003,demographie_naissance_2004,demographie_naissance_2005,demographie_naissance_2006,demographie_naissance_2007,demographie_naissance_2008,demographie_naissance_2009,demographie_naissance_2010
Alsace,560,9470,11905,8717,849,682,788,858,498,578,564,792,742,737,677,739,531,37,36,-18,-11,1682,2049,32,30,13,1,0,6710,105,1622810,1635430,1647964,1662967,1675733,1687475,1699339,1710779,1719985,1732588,1743955,1756078,1768054,1779575,1791145,1803402,1815493,1827248,1837087,1843053,1851443
Aquitaine,1514,23431,29613,22102,1035,1081,834,813,861,799,663,797,881,1100,991,922,707,41,40,-16,-11,1806,2103,34,37,16,1,0,19694,421,2795610,2810508,2824048,2837490,2845808,2855720,2864475,2876822,2888793,2906748,2933223,2962914,2993132,3023922,3054587,3088196,3119778,3150890,3177625,3206137,3231860
Auvergne,705,8691,11110,7941,922,861,857,811,665,801,720,913,856,982,791,882,645,37,39,-17,-11,1924,2218,32,39,14,32,188,8533,142,1321761,1319717,1317402,1315977,1314015,1312232,1310888,1310231,1309619,1309374,1312227,1315944,1319800,1323406,1327104,1331779,1335938,1339247,1341863,1343964,1345712
Basse-Normandie,676,7014,9313,6382,993,1015,892,1043,662,683,671,796,974,963,878,809,713,32,34,-13,-6,1950,1863,30,27,14,55,227,4876,44,1390890,1394761,1397801,1402650,1405337,1408316,1411452,1416140,1418774,1421947,1426928,1432400,1437801,1442916,1447429,1452425,1456793,1461429,1467425,1470880,1473946
Bourgogne,988,9204,12028,8475,906,801,889,765,621,782,645,780,806,853,690,780,660,36,38,-12,-8,1726,1981,34,29,16,22,138,6539,98,1609399,1611236,1613265,1614605,1615153,1615509,1614875,1614401,1613233,1610833,1612818,1615651,1618437,1620757,1622456,1626190,1628837,1633891,1638588,1642440,1644756
Bretagne,1261,16346,20843,13804,973,1015,909,928,712,756,684,814,832,911,901,848,643,34,34,-7,-6,1884,1779,36,39,12,141,738,14160,127,2794317,2803483,2811473,2822722,2830583,2840680,2853664,2870354,2888237,2904075,2927612,2954324,2981765,3009249,3037077,3066585,3094534,3120288,3149701,3175064,3197975
Centre,1543,15333,19354,13965,890,779,863,736,598,593,524,682,696,677,612,655,578,35,38,-15,-8,1857,2011,37,31,12,74,672,8147,136,2369808,2381407,2393043,2403487,2410394,2418315,2424326,2432034,2438205,2440295,2450121,2461778,2472978,2484288,2494279,2507246,2519567,2526919,2531588,2538590,2544791
Champagne-Ardenne,694,6154,7894,5411,903,956,1000,772,583,655,595,784,798,814,744,761,680,35,38,-15,-10,1519,1799,35,40,13,106,1052,3999,72,1346963,1348133,1347817,1348898,1349476,1350114,1349022,1347927,1346318,1343266,1342007,1341878,1341635,1340851,1339597,1339400,1338850,1339487,1338004,1337953,1336242
Corse,224,3916,5564,3606,789,841,559,778,641,596,725,637,785,1173,641,976,687,35,36,-3,0,2531,2870,29,36,12,3,18,911,85,249645,251659,251698,253595,256977,258416,259168,259097,259466,260152,264539,269273,274093,279027,283972,289092,294118,299209,302966,305674,309339
Franche-Comté,642,5675,7225,5163,1436,1173,1303,1207,814,940,913,1245,1180,1184,945,1091,868,35,35,-15,-10,1785,2087,29,31,13,5,30,6085,28,1096427,1099304,1102326,1105411,1107794,1111540,1113796,1114719,1115914,1117253,1121512,1126695,1131455,1135982,1140478,1145744,1150624,1158671,1163931,1168208,1172549
